Indicação de data e hora,Qual o melhor candidato pro PSOL em 2014?,Qual o pré-candidato do PSOL que melhor ecoa as vozes das ruas após as jornadas de Junho/Outubro?,,Qual o melhor pré-candidato apontado pelo PSOL no que tange ao Ecossocialismo?,Qual o melhor pré-candidato apontado pelo PSOL no que tange a questão de gênero?,Qual o melhor pré-candidato apontado pelo PSOL com relação à questão LGBT?,Qual o melhor pré-candidato apontado pelo PSOL no que se relaciona com a questão racial/Negros de Negras?,Qual o melhor pré-candidato apontado pelo PSOL no que tange à questão da legalização das drogas?,Qual o melhor pré-candidato apontado pelo PSOL com relação à disciplina partidária e relação com a base e instâncias?,O congresso foi legítimo?,O processo de escolha do candidato a presidente no congresso foi legítimo?,"Se você acha que o congresso foi legítimo, quem você acha que é o melhor candidato a presidente pelo PSOL? ","Se você acha que o congresso foi ilegítimo, quem você acha que é o melhor candidato a presidente pelo PSOL? ",,"Se você acha que o processo de escolha do candidato a presidente no congresso foi legítimo, quem você acha que é o melhor candidato a presidente pelo PSOL?","Se você acha que o processo de escolha do candidato a presidente no congresso foi ilegítimo, quem você acha que é o melhor candidato a presidente pelo PSOL?"
07/12/2013 17:38:47,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,Renato Roseno,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
07/12/2013 03:09:10,Luciana Genro,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Chico Alencar,Renato Roseno,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
07/12/2013 10:34:45,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Renato Roseno,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
13/12/2013 17:18:37,Luciana Genro,Renato Roseno,,Renato Roseno,Outro,Luciana Genro,Luciana Genro,Renato Roseno,Renato Roseno,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
08/12/2013 16:36:24,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,"Não, mas temos de assumir o resultado para construir o PSOL",Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
07/12/2013 00:00:21,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Luciana Genro,Chico Alencar,Não Sabe/Não Respondeu/Não quer responder,Chico Alencar,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
13/12/2013 19:05:27,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
06/12/2013 21:58:45,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Renato Roseno,Luciana Genro,Renato Roseno,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL",Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
09/12/2013 22:27:33,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,"Não, mas temos de assumir o resultado para construir o PSOL","Não, mas devemos parar de conflito para construir o PSOL",Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
08/12/2013 21:48:03,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Sim,Sim,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
